Node	 Temp		 Humi	Itr_Pres	Itr_Temp	IR_Light	Vis_Light	Accel_X	Accel_Y		Voltage					Date
4		24,79		58,32	 1005,0		 24,0		 0187		  0799		 0186	 0183		 2658		Tue Jul 21 09:19:44 BRT 2015
15		25,76		67,43	 1004,0		 25,0		 0036		  0407		 0185	 0165		 2826		Tue Jul 21 09:19:45 BRT 2015
3		26,20		70,81	 1006,0		 26,0		 0077		  0077		 0196	 0155		 2974		Tue Jul 21 09:19:54 BRT 2015
14		26,77		73,41	 1005,0		 26,0		 0030		  0077		 0209	 0135		 2752		Tue Jul 21 09:19:56 BRT 2015
12		25,99		75,70	 1005,0		 25,0		 0024		  0065		 0199	 0131		 2807		Tue Jul 21 09:20:06 BRT 2015
8		25,06		54,64	 1006,0		 25,0		 0235		  0991		 0197	 0158		 2885		Tue Jul 21 09:20:54 BRT 2015
4		24,87		60,89	 1005,0		 24,0		 0187		  0799		 0186	 0183		 2658		Tue Jul 21 09:21:41 BRT 2015
15		25,87		65,70	 1004,0		 25,0		 0034		  0391		 0185	 0163		 2826		Tue Jul 21 09:21:43 BRT 2015
3		26,23		71,08	 1006,0		 26,0		 0081		  0081		 0196	 0155		 2974		Tue Jul 21 09:21:52 BRT 2015
14		26,80		73,62	 1005,0		 26,0		 0032		  0081		 0209	 0137		 2752		Tue Jul 21 09:21:53 BRT 2015
12		26,03		76,15	 1005,0		 25,0		 0026		  0069		 0199	 0131		 2807		Tue Jul 21 09:22:03 BRT 2015
8		25,16		56,07	 1006,0		 25,0		 0115		  1039		 0197	 0158		 2878		Tue Jul 21 09:22:51 BRT 2015
4		24,95		60,23	 1005,0		 24,0		 0187		  0799		 0186	 0183		 2653		Tue Jul 21 09:23:38 BRT 2015
15		25,91		64,79	 1004,0		 25,0		 0036		  0407		 0185	 0161		 2820		Tue Jul 21 09:23:40 BRT 2015
3		26,26		71,89	 1006,0		 26,0		 0081		  0081		 0196	 0154		 2974		Tue Jul 21 09:23:49 BRT 2015
14		26,81		73,86	 1005,0		 26,0		 0032		  0081		 0209	 0137		 2752		Tue Jul 21 09:23:51 BRT 2015
12		26,06		76,36	 1005,0		 25,0		 0026		  0069		 0198	 0130		 2807		Tue Jul 21 09:24:00 BRT 2015
8		25,27		57,49	 1006,0		 25,0		 0115		  1039		 0197	 0157		 2878		Tue Jul 21 09:24:48 BRT 2015
4		25,01		62,66	 1005,0		 24,0		 0187		  0799		 0186	 0183		 2653		Tue Jul 21 09:25:36 BRT 2015
15		25,95		63,43	 1004,0		 26,0		 0036		  0407		 0185	 0162		 2820		Tue Jul 21 09:25:37 BRT 2015
3		26,28		71,98	 1006,0		 26,0		 0085		  0085		 0196	 0153		 2974		Tue Jul 21 09:25:46 BRT 2015
14		26,83		74,13	 1005,0		 26,0		 0034		  0085		 0209	 0137		 2746		Tue Jul 21 09:25:48 BRT 2015
12		26,09		76,30	 1005,0		 25,0		 0028		  0073		 0199	 0130		 2807		Tue Jul 21 09:25:57 BRT 2015
8		25,37		58,62	 1006,0		 25,0		 0115		  1039		 0197	 0158		 2878		Tue Jul 21 09:26:46 BRT 2015
4		25,10		63,04	 1005,0		 24,0		 0187		  0799		 0186	 0184		 2653		Tue Jul 21 09:27:33 BRT 2015
15		25,96		61,71	 1004,0		 26,0		 0034		  0391		 0185	 0161		 2814		Tue Jul 21 09:27:34 BRT 2015
3		26,31		72,14	 1006,0		 26,0		 0093		  0093		 0196	 0152		 2967		Tue Jul 21 09:27:43 BRT 2015
14		26,83		74,34	 1005,0		 26,0		 0093		  0093		 0209	 0138		 2746		Tue Jul 21 09:27:45 BRT 2015
12		26,12		76,52	 1005,0		 25,0		 0030		  0077		 0199	 0129		 2801		Tue Jul 21 09:27:55 BRT 2015
8		25,48		59,48	 1006,0		 25,0		 0115		  1039		 0197	 0158		 2878		Tue Jul 21 09:28:43 BRT 2015
4		25,13		60,35	 1005,0		 25,0		 0195		  0831		 0186	 0185		 2653		Tue Jul 21 09:29:30 BRT 2015
15		25,98		60,64	 1004,0		 26,0		 0034		  0391		 0185	 0161		 2820		Tue Jul 21 09:29:31 BRT 2015
3		26,32		71,54	 1006,0		 26,0		 0105		  0105		 0196	 0153		 2967		Tue Jul 21 09:29:40 BRT 2015
14		26,87		74,46	 1005,0		 26,0		 0187		  1615		 0209	 0138		 2746		Tue Jul 21 09:29:42 BRT 2015
12		26,15		74,23	 1005,0		 25,0		 0089		  0089		 0198	 0129		 2801		Tue Jul 21 09:29:52 BRT 2015
8		25,59		60,05	 1006,0		 26,0		 0115		  1039		 0197	 0154		 2878		Tue Jul 21 09:30:40 BRT 2015
4		25,06		58,33	 1005,0		 25,0		 0195		  0831		 0186	 0186		 2647		Tue Jul 21 09:31:27 BRT 2015
